StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
      103,      00,   196011,   2.43,   43.8,  -1.28,  -1.28,  -1.55,  -1.28,      0,    661,   -.52,   -.46,   -.87,    -.7,  -1.16,  -1.08,  -1.27,   32.3,   55.3,
      103,      00,   196012,   2.18,     28,  -1.66,  -1.66,  -1.53,  -1.66,      0,   1194,   -.81,    -.9,    -.8,  -1.17,  -1.03,  -1.31,   -1.1,   18.4,   37.6,
      103,      00,   196101,   1.29,   26.4,  -2.11,  -2.11,  -1.88,  -2.11,      0,   1250,  -1.62,  -1.64,  -1.48,  -1.44,  -1.11,  -1.48,  -1.33,   16.2,   36.7,
      103,      00,   196102,   3.38,   37.3,    .28,  -1.61,    .84,  -1.17,      0,    819,    .77,   -.55,  -1.02,  -1.26,  -1.04,  -1.38,  -1.29,     27,   47.6,
      103,      00,   196103,   5.19,   45.1,     .8,    -.9,   1.66,    .34,      4,    675,   1.05,    1.2,    .24,   -.51,    -.9,   -.87,   -.93,   35.6,   54.5,
      103,      00,   196104,   4.41,   48.2,   1.28,   1.28,   1.68,   1.28,      0,    555,    .49,    .97,   1.12,   -.27,   -.65,   -.53,   -.79,   37.8,   58.5,
      103,      00,   196105,   5.36,   58.7,   1.85,   1.85,    2.1,   1.85,     28,    258,    .75,    .77,   1.09,    .24,   -.31,   -.31,   -.67,   46.7,   70.7,
      103,      00,   196106,   4.27,   69.1,    1.9,    1.9,    .71,    1.9,    141,     35,    .04,    .48,     .6,    .51,   -.08,   -.47,   -.48,   57.3,   80.9,
      103,      00,   196107,   5.58,     74,   2.66,   2.66,   2.88,   2.66,    262,      4,    1.4,    .86,      1,   1.45,    .31,   -.08,   -.33,   63.1,   84.8,
      103,      00,   196108,   3.18,   72.8,   2.44,   2.44,    .16,   2.44,    234,     10,   -.45,    .82,    .51,   1.27,    .42,    -.1,   -.35,   61.7,   83.9,
      103,      00,   196109,   4.25,   68.8,   2.65,   2.65,   1.38,   2.65,    142,     39,     .7,    .28,    .94,   1.03,    .93,    .34,   -.19,   56.7,   80.9,
      103,      00,   196110,   2.49,   56.2,   2.46,   2.46,    .24,   2.46,     13,    310,   -.25,    .18,   -.06,    .69,   1.29,    .28,   -.51,   43.5,   68.9,
      103,      00,   196111,   3.71,   43.3,   2.69,   2.69,   1.45,   2.69,      0,    683,    .49,    .12,    .37,    .54,   1.14,    .56,   -.34,     34,   52.7,
      103,      00,   196112,   3.79,   31.5,   2.94,   2.94,    1.6,   2.94,      0,   1091,    .61,    .69,    .34,    .76,    .93,    .94,   -.28,   23.1,   39.9,
      103,      00,   196201,    3.9,   25.8,   3.14,   3.14,   1.49,   3.14,      0,   1279,    .75,    .86,    .88,    .54,   1.02,   1.42,   -.06,   16.5,   35.1,
      103,      00,   196202,   4.32,   34.8,   3.62,   3.62,   2.43,   3.62,      0,    933,   1.48,    1.4,   1.51,   1.26,    1.3,   1.69,    .13,   24.9,   44.8,
      103,      00,   196203,    3.6,   38.6,    .04,   3.29,    .13,   3.29,      0,    870,   -.08,    .87,   1.06,    .98,   1.21,   1.34,    .24,   29.3,   47.8,
      103,      00,   196204,   2.55,     51,   -.48,   2.48,  -1.44,   1.84,      1,    451,   -1.2,   -.82,    .14,    .67,     .5,    .91,    .19,   39.1,   62.9,
      103,      00,   196205,   3.71,   69.7,   -1.1,   1.55,  -2.01,    .08,    171,     68,   -.38,     -1,   -.85,    .26,    .41,    .54,     .1,   57.2,   82.2,
      103,      00,   196206,   3.72,   71.4,  -1.18,    1.2,   -.59,   -.46,    191,     19,   -.42,   -.58,   -.99,   -.08,    .04,    .41,   -.07,     60,   82.8,
      103,      00,   196207,   4.31,   73.9,   -.87,   1.26,    .57,   -.14,    245,      8,    .29,   -.18,    -.4,   -.27,    .19,    .12,    .02,   62.6,   85.2,
      103,      00,   196208,   2.34,   73.8,  -1.49,  -1.49,  -2.12,  -1.49,    252,      9,  -1.49,   -.81,   -.84,  -1.17,   -.25,   -.03,   -.08,   60.8,   86.8,
      103,      00,   196209,   4.08,   64.2,   -.91,   -.91,   1.28,   -.14,     60,    115,    .57,   -.36,   -.18,   -.94,   -.21,   -.05,    .22,   52.9,   75.4,
      103,      00,   196210,   3.24,   57.7,   -.77,   -.77,    .14,     .1,     19,    280,    .33,    .48,   -.18,   -.48,   -.37,    .11,    .32,   46.4,     69,
      103,      00,   196211,   2.29,   42.3,  -1.08,  -1.08,  -1.19,   -.76,      0,    710,   -.64,   -.26,    .02,   -.52,   -.91,   -.19,    .31,   32.5,     52,
      103,      00,   196212,   1.88,   29.1,  -1.48,  -1.48,  -1.53,  -1.48,      0,   1172,   -1.1,  -1.17,   -.78,   -.72,  -1.11,   -.55,    .27,   19.1,     39,
      103,      00,   196301,   1.17,   21.8,  -2.01,  -2.01,  -2.03,  -2.01,      0,   1411,  -1.85,     -2,  -1.76,  -1.25,   -1.2,  -1.07,    .23,   11.6,     32,
      103,      00,   196302,   1.16,   26.3,  -2.51,  -2.51,  -2.14,  -2.51,      0,   1158,  -1.85,  -2.83,  -2.92,  -1.41,  -1.47,  -1.68,    -.1,   14.9,   37.7,
      103,      00,   196303,   6.35,     46,  -1.17,  -1.17,   3.25,    .28,      6,    659,   1.76,    .66,   -.31,   -.88,    -.8,  -1.16,    .02,   34.6,   57.5,
      103,      00,   196304,   2.55,   55.5,   -1.8,   -1.8,  -2.23,  -1.27,      8,    347,   -1.2,    .65,   -.05,   -1.4,  -1.23,  -1.18,   -.25,   42.9,     68,
      103,      00,   196305,   3.72,   61.8,  -1.78,  -1.78,   -.51,  -1.41,     52,    198,   -.37,     -1,    .24,  -1.24,   -.99,  -1.15,   -.46,   49.6,     74,
      103,      00,   196306,   3.03,   72.1,  -2.11,  -2.11,  -1.54,  -2.11,    205,     17,  -1.04,    -.9,  -1.27,  -1.15,  -1.37,  -1.27,   -.62,   59.7,   84.5,
      103,      00,   196307,   4.62,   74.1,  -1.54,  -1.54,   1.05,     -1,    267,      4,    .58,   -.39,   -.55,   -.48,  -1.28,   -1.2,   -.76,   62.6,   85.7,
      103,      00,   196308,   3.22,     72,  -1.46,  -1.46,   -.24,   -.97,    197,     23,    -.4,    .14,    -.6,   -.26,   -1.3,   -1.1,   -.75,   60.2,   83.6,
      103,      00,   196309,   1.38,     66,  -2.25,  -2.25,  -2.81,  -2.25,     84,     87,  -2.09,  -1.76,  -1.02,  -1.57,  -1.54,  -1.68,  -1.15,   52.6,   79.3,
      103,      00,   196310,    .51,   62.2,  -3.59,  -3.59,  -4.72,  -3.59,     57,    168,  -2.51,  -2.52,   -2.4,  -1.77,  -1.67,  -2.22,  -1.56,   46.2,   78.2,
      103,      00,   196311,   2.66,   45.3,  -4.09,  -4.09,   -2.6,  -4.09,      0,    612,   -.32,  -1.79,  -2.15,  -1.75,  -1.33,  -2.12,  -1.68,   34.4,   56.2,
      103,      00,   196312,   1.24,   22.6,  -4.97,  -4.97,  -3.92,  -4.97,      0,   1366,  -1.77,  -1.35,  -2.17,  -1.96,  -2.21,  -2.37,  -2.08,   13.5,   31.7,
      103,      00,   196401,   2.21,   32.3,  -5.18,  -5.18,  -2.16,  -5.18,      0,   1059,   -.47,  -1.65,  -1.38,  -2.29,  -2.02,  -1.96,  -2.13,   21.2,   43.4,
      103,      00,   196402,   2.23,   30.9,     -5,     -5,  -1.05,     -5,      0,    997,   -.33,   -.71,  -1.78,  -2.43,  -2.09,  -1.74,  -2.42,     21,   40.9,
      103,      00,   196403,   6.45,   41.4,  -3.14,  -3.14,   4.02,  -1.58,      1,    783,   1.82,   1.26,    .69,  -1.14,  -1.35,  -1.69,  -1.83,   30.1,   52.7,
      103,      00,   196404,   5.87,   55.7,     -2,     -2,   2.47,    .46,      9,    346,   1.44,   2.08,   1.64,    .29,  -1.05,  -1.11,   -1.4,   44.3,   67.1,
